# 형식: 노래제목 | 가수 | 분류
# 분류: 가요 / J-POP / 팝송 / 기타곡
# 아래 예시를 지우고 추가하세요.

기다린만큼 더 | 검정치마 | 기타곡
Everything | 검정치마 | 기타곡
International Love Song | 검정치마 | 기타곡
한시오분 | 검정치마 | 기타곡
perfect  |  10cm  | 기타곡
 고양이 |  넬   | 기타곡
 섬 |  넬 | 기타곡
백야 | 짙은 | 기타곡
 잘지내자 우리| 짙은 | 기타곡
 Feel alright | 짙은 | 기타곡
 아침만 남겨주고 | 김현창 | 기타곡
 얼음요새 | 디어클라우드 | 기타곡
 잊어야 한다는 마음으로 | 김광석 | 기타곡
서른즈음에 | 김광석 | 기타곡
 사랑했지만 | 김광석 | 기타곡
 서울 | 쏜애플 | 기타곡
 비와당신 |  럼블피쉬 | 기타곡
 내게 남은 사랑을 드릴께요 | 최유리 | 기타곡
 You and I| 박봄  | 기타곡
그렇게 살아가는것 |  허회경   | 가요
 김철수씨 이야기 |    허회경 | 가요
 숲 | 최유리    | 가요
 Hate everything | 지소울    | 가요
끝 | 권진아    |가요
 위로 |   권진아  | 가요
 뭔가 잘못됐어|   권진아  |가요
 씨스루 |   권진아  |가요
 고양이| 선우정아    |가요
Love poem |  아이유   |가요
 Love wins all|   아이유  |가요
 이런엔딩|   아이유  |가요
 아이와 나의 바다|   아이유  |가요
 이지금 | 아이유    |가요
 밤편지 | 아이유    |가요
 만약에|   태연  |가요
 들리나요|    태연 |가요
 그대라는 시 |    태연 |가요
 U R |    태연 |가요
 Fine|  태연  |가요
 Rain drop |  아이유   | |  가요   
 1,2,3,4|   이하이  |가요
 어제처럼 |   J  |가요
0310 |  백예린   |가요
 Champagne Supernova  |  백예린   |가요
  Square (스퀘어)|    백예린 |가요
 Happy things |   제이레빗 |가요
수영해 |   유라  |가요
미아 |   박정현  |가요
이젠 그랬으면 좋겠네 |   박정현   |  가요   
오랜만에 |   박정현   |가요
 미안해 |   박정현  |가요
 눈물빛 글씨|     박정현 |가요
 그 다음해|  박정현 |가요
 눈물이 주룩주룩 |  박정현   |가요
 꿈에 |  박정현   |가요
 미워요|    정인 |가요
 오르막길|    정인  |가요
 장마 |     정인 |    가요  
심쿵해 |  박정현 | 가요  
 You Are My Everything| 거미    |가요  
친구라도 될걸 그랬어|  거미   | 가요  
 기억해줘요 내 모든 날과 그때|    거미 | 가요  
그대 돌아오면 |   거미  |    가요  
 기억상실|   거미  | 가요  
 어른아이 |    거미 | 가요  
 해줄 수 없는 일 |     거미 | 가요  
 독설..이 지독한 사랑 |  니모 | 가요  
 니소식 |   송하예  | 가요  
 그대를 알고 |   송하예 | 가요  
 그 날 이후|   송하예 | 가요  
 우리 왜 헤어져야 해|   신예영  | 가요  
 날 위한 이별 |   신예영  |      가요  
 마지막 사랑 |   박기영  | 가요  
시작 | 박기영    | 가요  
 그대때문에 |    박기영 | 가요  
 나에게로의 초대 |   박기영,조유진  | 가요  
 사건의 지평선 |  윤하   | 가요  
 비밀번호486 |  윤하   | 가요  
 오늘 헤어졌어요 |   윤하  | 가요  
 기다리다|  윤하   | 가요  
 내 남자친구를 부탁해 |     윤하 | 가요  
 먼 훗날에 |  윤하   | 가요  
비가 내리는 날에는 |    윤하 |가요  
 첫눈처럼 너에게 가겠다 |  에일리   | 가요  
저녁하늘 |   에일리  | 가요  
 사랑 그게 뭔데 |   양파  | 가요  
그런일은 |     박화요비 | 가요  
 어떤가요 |  박화요비   | 가요  
 열애중 | 벤   | 가요  
 오늘은 가지마 |   벤  | 가요  
 끝까지 |    벤 | 가요  
 함께 했는데 이별은 나 혼자인 거야 | 이소정    | 가요  
 너와 나는 이제 남이니까|    이소정 | 가요  
사랑안해  |    백지영 | 가요  
 잊지말아요| 백지영    | 가요  
 거짓말이라도 해서 널 보고싶어| 백지영    | 가요  
연인 |   박효신(요아리Ver.)  |  가요
 연 |   빅마마  | 가요
 체념 |  빅마마   | 가요
 나비효과|    신승훈 | 가요
이제그만 |    이소라 | 가요  
 사랑이 아니라 말하지 말아요|이소라      | 가요  
 나를 사랑하지 않는 그대에게 |이소라   | 가요  
시시콜콜한 이야기 |  이소라    |  가요
 모르시나요|     다비치 | 가요
 처음 느낌 그대로 | 이소라   | 가요
 사랑해서 그래 |강민경    | 가요 
 사랑했잖아 |   린  | 가요  
 곰인형 |   린   | 가요  
 실화 |   린   |  가요
 사랑..다 거짓말|    린  | 가요
 통화연결음 |    린  | 가요
 부디|    심규선 | 가요
 아라리|     심규선| 가요  
 지우개|   알리  | 가요  
 별 짓 다해봤는데|  알리   |  가요
 365일 | 알리    | 가요
 홀로|    김나영 | 가요
  너의 번호를 누르고 | 김나영 |가요
어쩔 수가 없나 봐  | 김나영     | 가요 
 어떻게 사랑이 그래요| 김나영     | 가요  
 가끔내가|    김나영 | 가요  
어른 |     sondia|  가요
 화장을 고치고 |  왁스   | 가요
 한숨 | 이하이    | 가요
 추억의 책장을 넘기면 |    이선희 | 가요 
인연 |   이선희  | 가요  
 안녕 |   조이  | 가요  
 늦은 후회 |    보보 |  가요
 사랑은 언제나 목마르다 |    유미 | 가요
 별 |    유미 | 가요
 1994년 어느 늦은 밤|   장혜진  | 가요
 그날 밤 |    장혜진 | 가요  
 비가 내리는 날|   장혜진  | 가요  
 물론|     지아|  가요
 술 한잔 해요| 지아    | 가요
 시든 꽃에 물을 주듯|    박혜원 | 가요
아무렇지 않게, 안녕 |   박혜원 | 가요 
 미친소리 |    이예준 | 가요  
 이 소설의 끝을 다시 써보려 해 |    이예준 | 가요  
 행복한 나를 |    에코 |  가요
 일종의 고백 |    이영훈 | 가요
 눈사람 |    정승환 | 가요
 너였다면 |     정승환 | 가요 
 입춘 |    한로로 | 가요  
 이별하러 가는 길| 임한별    | 가요  
 스토커 |     10cm|  가요
 Good-Bye Days| Yui    | J-POP
Pretender |  Official髭男disms| J-POP
Nandemonaiya  |   RADWIMPS  | J-POP
 Wherever you are | ONE OK ROCK  |  J-POP
내가 죽으려고 생각한 것은 |  나카시마 미카   |  J-POP
Make You Feel My Love  | adele    |  팝송
Someone Like You |  adele    | 팝송
Never Enough   |  The Greatest Showman ost| 팝송
 Listen |   Beyoncé  | 팝송
  Something New |  Nikki Yanofsky | 팝송
